Subzone,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over,0_to_24,25_to_64,65_and_over,total_population
ANG MO KIO TOWN CENTRE,170,260,330,310,290,290,280,330,430,470,350,350,290,270,200,140,80,40,10,1360,2790,740,4890
CHENG SAN,1050,1000,1060,1210,1380,1810,2010,2220,2050,2220,2070,2160,2200,2150,1570,1020,580,310,150,5700,16740,5780,28220
CHONG BOON,840,880,1020,1150,1380,1600,1930,1820,1900,1840,1980,2150,2160,2080,1670,1190,740,400,200,5270,15380,6280,26930
KEBUN BAHRU,730,840,1020,1090,1170,1450,1400,1550,1700,1860,1820,1800,1750,1700,1300,900,590,330,140,4850,13330,4960,23140
SEMBAWANG HILLS,200,280,410,460,530,510,320,290,400,540,540,550,480,420,300,240,150,100,50,1880,3630,1260,6770
SHANGRI-LA,540,590,680,720,860,1030,1030,1010,1090,1170,1260,1420,1240,1140,910,670,400,240,120,3390,9250,3480,16120
TAGORE,220,320,430,490,570,690,490,360,450,600,590,700,710,520,330,220,190,100,60,2030,4590,1420,8040
TOWNSVILLE,750,910,930,830,930,1370,1370,1520,1700,1550,1400,1630,1680,1590,1310,960,610,330,180,4350,12220,4980,21550
YIO CHU KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIO CHU KANG EAST,160,170,230,260,320,330,240,240,250,330,290,350,360,250,170,110,80,30,30,1140,2390,670,4200
YIO CHU KANG NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIO CHU KANG WEST,760,980,1270,1410,1490,1540,1440,1600,1790,1990,1870,1980,1940,1850,1200,710,420,230,100,5910,14150,4510,24570
BAYSHORE,320,470,490,420,350,330,310,580,800,860,640,480,400,350,260,130,90,40,60,2050,4400,930,7380
BEDOK NORTH,2790,3140,3560,4250,4880,5740,5120,5340,5810,6030,6400,7050,6520,5950,4400,2640,1640,940,480,18620,48010,16050,82680
BEDOK RESERVOIR,1130,1270,1490,1510,1530,1590,1880,1940,2120,2120,1930,1880,1840,1470,890,490,300,180,70,6930,15300,3400,25630
BEDOK SOUTH,1490,1820,2200,2440,2850,3300,2870,2830,3160,3540,3580,3850,3760,3380,2570,1680,1220,680,370,10800,26890,9900,47590
FRANKEL,1480,2050,2080,1720,1890,2050,1940,2490,2990,3130,2490,2270,2080,1940,1430,890,700,440,280,9220,19440,5680,34340
KAKI BUKIT,1210,1270,1650,2080,2690,3310,2760,2270,2320,2520,2630,3490,3460,2600,1700,870,550,230,170,8900,22760,6120,37780
KEMBANGAN,1440,1380,1570,1870,2120,2790,2730,2520,2400,2580,2740,3040,3280,2690,1950,1270,860,510,330,8380,22080,7610,38070
SIGLAP,160,240,260,350,350,420,330,340,470,510,460,490,490,430,460,330,240,110,60,1360,3510,1630,6500
BISHAN EAST,850,1180,1330,1400,1580,2460,2040,1800,1920,2210,1920,2260,2420,2100,1350,870,570,300,150,6340,17030,5340,28710
MARYMOUNT,1070,1390,1630,1720,2190,2590,1740,1850,2080,2290,2330,2590,2330,1700,1100,660,390,220,130,8000,17800,4200,30000
UPPER THOMSON,930,1280,1470,1620,1800,2040,1650,1640,1940,2360,2260,2370,2390,1930,1430,1010,710,450,240,7100,16650,5770,29520
LIU FANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMULUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIPYARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUKANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRICKWORKS,1830,850,670,570,490,2200,2500,1240,1140,1000,790,610,460,320,210,130,60,40,10,4410,9940,770,15120
BUKIT BATOK CENTRAL,1260,1270,1400,1530,1560,2040,2340,1930,1870,1990,2030,2060,2110,1660,1020,600,400,190,120,7020,16370,3990,27380
BUKIT BATOK EAST,330,360,600,630,840,970,850,830,840,970,1020,1220,1260,950,560,290,180,110,60,2760,7960,2150,12870
BUKIT BATOK SOUTH,720,700,760,900,1190,1170,1300,1110,930,1100,1200,1320,1210,720,370,170,110,60,30,4270,9340,1460,15070
BUKIT BATOK WEST,670,610,740,840,940,1020,1230,1070,1050,1070,1100,1230,1190,1000,550,300,190,130,70,3800,8960,2240,15000
GOMBAK,370,540,570,570,650,700,610,770,900,790,720,720,630,540,380,250,190,90,50,2700,5840,1500,10040
GUILIN,450,570,740,760,850,870,860,930,1000,1140,1150,1070,900,700,420,280,200,110,80,3370,7920,1790,13080
HILLVIEW,580,750,1050,1430,1590,1400,1030,1030,1260,1690,1910,1760,1360,1010,570,350,190,120,60,5400,11440,2300,19140
HONG KAH NORTH,920,990,1270,1570,1740,2140,1760,1690,1700,1930,2090,2460,2470,1660,940,560,300,170,80,6490,16240,3710,26440
ALEXANDRA HILL,380,450,590,680,810,920,840,760,790,940,1020,1160,1130,1080,840,560,410,250,170,2910,7560,3310,13780
ALEXANDRA NORTH,150,150,130,80,70,110,200,270,250,240,160,110,80,50,40,20,10,0,0,580,1420,120,2120
BUKIT HO SWEE,520,630,540,540,620,850,970,1040,970,1010,1010,1180,1310,1120,880,680,460,280,170,2850,8340,3590,14780
BUKIT MERAH,20,40,40,70,80,70,60,70,50,90,80,90,80,100,70,50,30,10,0,250,590,260,1100
CITY TERMINALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPOT ROAD,370,390,360,290,300,290,500,550,680,580,430,380,370,350,290,190,110,60,20,1710,3780,1020,6510
EVERTON PARK,250,290,330,360,340,450,490,580,660,650,580,540,630,600,470,320,250,120,60,1570,4580,1820,7970
HENDERSON HILL,440,450,510,580,640,860,910,780,800,940,1040,1090,1080,980,810,640,450,260,120,2620,7500,3260,13380
KAMPONG TIONG BAHRU,230,250,370,370,460,560,490,480,580,690,740,750,850,810,610,470,340,160,100,1680,5140,2490,9310
MARITIME SQUARE,180,210,190,150,90,140,170,340,390,360,280,240,180,150,90,80,60,50,40,820,2100,470,3390
REDHILL,520,710,610,500,500,640,650,820,1100,920,770,750,610,490,390,270,240,110,130,2840,6260,1630,10730
SINGAPORE GENERAL HOSPITAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TELOK BLANGAH DRIVE,1070,830,770,720,740,1190,1990,1670,1460,1360,1230,1220,1200,1180,980,700,460,220,120,4130,11320,3660,19110
TELOK BLANGAH RISE,340,410,440,520,620,760,660,770,900,930,830,940,1060,1120,910,590,350,170,80,2330,6850,3220,12400
TELOK BLANGAH WAY,270,400,400,360,430,510,470,570,740,790,710,780,810,730,570,430,300,170,120,1860,5380,2320,9560
TIONG BAHRU,760,670,540,450,440,730,1130,1190,1220,990,790,780,830,810,650,450,300,150,150,2860,7660,2510,13030
TIONG BAHRU STATION,600,770,820,710,710,1060,1020,1160,1240,1290,1120,1090,1050,800,710,540,420,210,110,3610,9030,2790,15430
BANGKIT,670,770,1030,1230,1660,1950,1440,1260,1380,1590,1870,2250,1940,1390,870,610,370,210,100,5360,13680,3550,22590
DAIRY FARM,290,370,450,500,460,490,450,440,560,610,530,530,420,290,190,90,50,40,20,2070,4030,680,6780
FAJAR,1660,1720,1640,1650,1770,2180,2450,2300,1960,2010,1930,2130,1780,1260,780,490,290,140,70,8440,16740,3030,28210
JELEBU,930,1190,1520,1990,2520,2710,2080,1770,1980,2460,2730,2900,2620,1770,1120,620,450,180,120,8150,19250,4260,31660
NATURE RESERVE,160,160,230,250,290,250,210,230,260,360,330,340,270,190,130,70,50,30,10,1090,2250,480,3820
SAUJANA,1690,1600,1550,1580,1730,1790,2390,2260,1860,1890,1710,1950,1800,1140,590,290,180,120,70,8150,15650,2390,26190
SENJA,1300,1420,1260,1300,1140,1190,1720,1970,1610,1690,1350,1310,1140,870,550,300,170,100,60,6420,11980,2050,20450
ANAK BUKIT,720,1110,1270,1290,1520,1730,1330,1240,1460,1720,1620,1680,1710,1410,950,650,460,250,130,5910,12490,3850,22250
CORONATION ROAD,310,470,470,450,350,360,310,430,560,610,450,400,330,330,270,200,130,70,50,2050,3450,1050,6550
FARRER COURT,320,510,390,400,290,350,350,510,560,620,450,400,330,310,230,170,140,80,30,1910,3570,960,6440
HILLCREST,400,720,630,610,550,410,400,580,780,850,760,620,540,380,380,270,190,120,50,2910,4940,1390,9240
HOLLAND ROAD,460,780,820,760,630,520,480,610,960,1110,840,690,560,490,370,270,180,110,70,3450,5770,1490,10710
LEEDON PARK,320,310,400,360,380,330,360,430,480,600,560,430,370,350,350,160,110,70,50,1770,3560,1090,6420
SWISS CLUB,240,300,350,310,310,330,270,350,380,440,410,340,320,290,190,150,120,70,50,1510,2840,870,5220
ULU PANDAN,390,620,670,630,660,680,560,550,830,940,840,780,730,700,580,310,230,120,70,2970,5910,2010,10890
CENTRAL WATER CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANGI AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANGI POINT,0,0,20,30,20,20,20,20,30,50,60,60,70,40,20,20,0,0,0,70,330,80,480
CHANGI WEST,130,130,120,80,60,80,120,140,130,120,80,40,30,30,10,10,0,0,0,520,740,50,1310
CHANGI BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOA CHU KANG CENTRAL,880,1080,1360,1520,1870,1870,1330,1480,1660,1870,2090,1930,1410,940,560,360,230,110,60,6710,13640,2260,22610
CHOA CHU KANG NORTH,920,1190,1780,2700,3650,2770,1660,1630,1700,2570,3590,3060,2140,1330,720,460,310,190,70,10240,19120,3080,32440
KEAT HONG,3410,2380,1990,2100,2380,3520,4390,3200,2520,2380,2470,2160,1570,1070,620,330,250,160,60,12260,22210,2490,36960
PENG SIANG,1600,1610,1690,2060,2610,2760,2700,2410,2210,2350,2730,2800,2240,1660,930,460,310,180,110,9570,20200,3650,33420
TECK WHYE,770,810,1030,1440,2050,2340,1570,1370,1310,1750,2120,2440,2000,1510,940,630,380,170,90,6100,14900,3720,24720
YEW TEE,1400,2080,2560,2950,3420,2960,2390,2870,3290,3690,3710,3290,2710,1650,860,540,320,170,90,12410,24910,3630,40950
CLEMENTI CENTRAL,480,630,670,640,720,890,820,990,1090,1210,960,1020,990,1020,840,520,310,170,90,3140,7970,2950,14060
CLEMENTI NORTH,1470,1230,1150,1210,1280,1650,2320,2420,2240,2160,1940,1950,1930,2110,1730,1130,760,360,240,6340,16610,6330,29280
CLEMENTI WEST,540,630,780,800,820,890,840,1110,1280,1320,1200,1190,1240,1200,800,510,260,130,50,3570,9070,2950,15590
CLEMENTI WOODS,690,700,780,780,800,910,1060,1200,1130,1150,1150,1200,1030,1090,920,530,350,160,80,3750,8830,3130,15710
FABER,300,450,430,370,340,360,400,510,550,530,410,310,270,240,170,100,70,30,10,1890,3340,620,5850
PANDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNSET WAY,190,240,280,340,400,390,370,320,380,440,480,490,470,500,370,200,140,70,40,1450,3340,1320,6110
TOH TUCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST COAST,290,430,520,410,340,340,270,440,610,650,500,380,320,300,240,140,80,40,10,1990,3510,810,6310
ANSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFRONT SUBZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUGIS,20,40,10,40,50,50,70,90,70,90,70,60,60,70,60,30,20,10,20,160,560,210,930
CECIL,0,0,0,0,20,20,40,40,20,20,20,10,10,0,0,0,0,0,0,20,180,0,200
CENTRAL SUBZONE,40,30,30,30,20,50,70,100,100,110,70,50,40,20,20,0,0,0,0,150,590,40,780
CITY HALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIFFORD PIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA CENTRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAXWELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHILLIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAFFLES PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANJONG PAGAR,20,20,10,0,20,50,90,80,70,50,40,40,30,20,20,0,0,0,30,70,450,70,590
ALJUNIED,1290,1550,1770,1750,1990,2840,2930,2980,3130,3230,2900,3180,3140,2550,1860,1270,910,550,370,8350,24330,7510,40190
GEYLANG EAST,1180,1350,1440,1460,1620,2070,2030,2240,2400,2320,2120,2170,2280,1950,1570,970,630,380,220,7050,17630,5720,30400
KALLANG WAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAMPONG UBI,400,470,550,630,800,1110,960,830,840,750,830,1100,1110,770,480,270,110,60,40,2850,7530,1730,12110
MACPHERSON,1090,950,1150,1360,1580,1960,1990,1740,1690,1920,2300,2450,2260,1800,1220,1000,730,400,230,6130,16310,5380,27820
DEFU INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUGANG CENTRAL,130,140,220,290,350,450,310,260,270,350,400,430,410,300,180,120,70,50,30,1130,2880,750,4760
HOUGANG EAST,1440,1210,1030,1140,1610,2110,2420,2150,1700,1610,1710,2120,1800,1320,830,480,260,150,80,6430,15620,3120,25170
HOUGANG WEST,1250,1350,1730,2190,3160,4050,3260,2690,2630,3020,3530,4620,4380,3240,1960,1160,700,400,210,9680,28180,7670,45530
KANGKAR,1770,1610,1520,1660,1670,2110,2770,2600,2410,2440,2240,2300,2150,1760,1130,770,530,250,130,8230,19020,4570,31820
KOVAN,870,1140,1300,1520,1690,1910,1580,1540,1760,2050,1830,1960,1900,1440,1000,650,430,210,170,6520,14530,3900,24950
LORONG AH SOO,960,1130,1480,1780,1980,2280,2120,2100,2210,2500,2480,2660,2760,2250,1630,1060,720,380,170,7330,19110,6210,32650
LORONG HALUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAI SENG,450,590,700,790,1010,1000,860,820,860,1020,1100,1170,1170,950,610,470,330,190,120,3540,8000,2670,14210
TRAFALGAR,2070,2090,2450,2790,3300,3740,3380,3120,3400,3700,3970,4150,3630,2680,1610,920,560,310,150,12700,29090,6230,48020
INTERNATIONAL BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG GATEWAY,20,20,30,20,30,40,50,40,50,50,30,20,20,20,0,0,0,0,0,120,300,20,440
JURONG PORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG RIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKESIDE,20,20,20,20,40,50,60,50,60,60,60,60,80,90,60,50,30,10,10,120,480,250,850
PENJURU CRESCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEBAN GARDENS,830,880,880,990,1050,1170,1330,1400,1350,1330,1360,1390,1340,1440,1030,540,320,120,90,4630,10670,3540,18840
TOH GUAN,420,550,700,920,1050,1280,1010,950,940,1160,1120,1340,1360,940,470,250,150,100,30,3640,9160,1940,14740
YUHUA EAST,700,820,1070,1260,1470,1810,1690,1640,1690,1850,1830,1940,2200,1940,1340,760,460,280,150,5320,14650,4930,24900
YUHUA WEST,640,720,930,1120,1280,1440,1320,1130,1290,1470,1510,1610,1630,1420,860,500,320,180,90,4690,11400,3370,19460
BOON LAY PLACE,1670,1710,1630,1770,1830,2020,2370,2470,2180,2290,2240,2110,1720,1480,980,620,340,160,70,8610,17400,3650,29660
CHIN BEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HONG KAH,1830,2240,2720,3150,3360,3900,3680,3780,3930,4200,4040,4120,4410,3720,2440,1350,710,350,170,13300,32060,8740,54100
JURONG WEST CENTRAL,2770,3780,4380,4030,3740,4390,4860,5760,6340,5690,4550,4210,4080,2920,1630,790,460,190,120,18700,39880,6110,64690
KIAN TECK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAFTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAN JURONG,2090,2280,2250,2540,2670,2870,2930,3190,3090,3260,3180,2820,2430,1900,1150,720,360,230,90,11830,23770,4450,40050
WENYA,470,630,670,520,370,460,550,880,910,720,520,430,400,330,180,120,70,50,30,2660,4870,780,8310
YUNNAN,2260,2960,3780,4670,5730,5950,4130,4600,4950,5170,5900,5680,4700,3550,2060,1070,600,270,170,19400,41080,7720,68200
BENDEMEER,1840,1730,1420,1400,1540,2360,3160,3220,3000,2730,2340,2490,2650,2440,1780,1300,840,480,370,7930,21950,7210,37090
BOON KENG,470,440,410,520,560,780,870,870,780,890,900,920,960,850,640,480,300,210,100,2400,6970,2580,11950
CRAWFORD,260,230,290,290,370,450,430,400,530,580,690,880,870,790,670,500,360,200,110,1440,4830,2630,8900
GEYLANG BAHRU,320,360,500,580,660,690,670,690,810,970,970,1020,930,810,610,450,370,190,120,2420,6750,2550,11720
KALLANG BAHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAMPONG BUGIS,30,20,20,40,50,110,70,60,60,50,40,80,100,70,70,20,10,0,0,160,570,170,900
KAMPONG JAVA,370,480,470,480,530,630,660,730,880,960,810,790,780,710,590,390,280,120,100,2330,6240,2190,10760
LAVENDER,340,390,440,430,440,610,620,670,730,810,700,800,700,650,510,330,230,110,80,2040,5640,1910,9590
TANJONG RHU,400,540,680,690,550,510,560,810,1080,1240,980,790,700,550,390,290,160,70,40,2860,6670,1500,11030
LIM CHU KANG,0,0,0,10,10,0,0,0,0,0,10,20,10,0,10,0,0,0,0,20,40,10,70
MANDAI EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANDAI ESTATE,80,90,130,140,170,160,130,130,140,170,170,180,120,90,70,40,30,20,0,610,1200,250,2060
MANDAI WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST COAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KATONG,410,500,470,520,510,550,490,720,850,860,730,670,580,500,400,220,200,120,90,2410,5450,1530,9390
MARINA EAST (MP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
