Subzone,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over,0_to_24,25_to_64,65_and_over,total_population
MARINE PARADE,1020,1390,1410,1310,1310,1320,1340,1760,2100,2360,2020,1890,1760,1560,1440,1180,910,480,290,6440,14550,5860,26850
MOUNTBATTEN,430,540,570,570,590,620,600,690,850,910,760,790,650,570,450,240,180,120,80,2700,5870,1640,10210
BRAS BASAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHOBY GHAUT,10,20,10,10,0,20,40,40,40,30,20,20,10,10,0,0,0,0,0,50,220,10,280
FORT CANNING,10,10,20,0,0,10,0,10,20,20,20,20,10,0,0,0,0,0,0,40,110,0,150
CAIRNHILL,210,270,200,160,180,200,260,300,370,410,310,270,210,190,150,80,60,40,20,1020,2330,540,3890
GOODWOOD PARK,80,110,90,60,50,70,60,100,120,120,90,70,60,40,40,20,0,0,10,390,690,110,1190
ISTANA NEGARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONK'S HILL,50,70,70,50,60,50,60,70,110,100,80,70,50,40,40,30,20,10,10,300,590,150,1040
NEWTON CIRCUS,10,20,10,10,10,0,20,20,20,20,20,20,0,10,10,0,0,0,0,60,120,20,200
ORANGE GROVE,60,80,100,70,70,80,90,100,150,170,160,140,130,110,90,40,20,20,0,380,1020,280,1680
NORTH-EASTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALESTIER,1290,1490,1480,1440,1650,2100,2340,2470,2610,2790,2430,2340,2240,1900,1490,1140,780,470,310,7350,19320,6090,32760
DUNEARN,140,210,260,230,260,220,160,220,280,360,320,290,250,230,180,130,90,80,30,1100,2100,740,3940
MALCOLM,140,240,190,190,150,130,150,170,270,260,200,200,170,170,140,80,60,40,40,910,1550,530,2990
MOULMEIN,540,930,580,400,330,390,510,860,1100,950,600,480,370,330,250,160,120,70,40,2780,5260,970,9010
MOUNT PLEASANT,30,30,40,40,50,60,40,40,20,40,60,60,60,50,30,20,10,10,0,190,380,120,690
BOULEVARD,20,20,20,10,10,20,20,40,40,40,30,30,30,50,20,20,10,0,0,80,250,100,430
SOMERSET,10,0,0,0,10,0,10,20,20,10,20,0,10,0,0,0,0,0,0,20,90,0,110
TANGLIN,20,20,30,20,10,10,20,30,40,40,20,40,10,20,20,10,0,0,0,100,210,50,360
CHINA SQUARE,20,30,20,30,40,70,90,80,80,100,90,120,140,160,110,80,50,30,10,140,770,440,1350
CHINATOWN,480,630,500,330,370,590,670,970,1200,850,720,690,670,630,520,330,280,160,170,2310,6360,2090,10760
PEARL'S HILL,170,220,220,230,260,310,280,280,320,440,480,620,690,620,530,390,280,140,150,1100,3420,2110,6630
PEOPLE'S PARK,0,0,0,10,10,40,40,40,20,30,20,20,20,20,20,10,10,0,0,20,230,60,310
FLORA DRIVE,540,680,890,970,1040,1000,820,970,1330,1340,1260,1160,990,600,430,260,190,110,70,4120,8870,1660,14650
LOYANG EAST,50,50,120,150,180,180,110,110,140,160,190,220,180,150,80,50,20,10,10,550,1290,320,2160
LOYANG WEST,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,50,40,30,0,10,180,190
PASIR RIS CENTRAL,1810,1690,1630,1990,2560,2550,2570,2420,2220,2390,2730,2800,1960,1230,760,460,310,150,80,9680,19640,2990,32310
PASIR RIS DRIVE,1750,2080,2730,3740,5420,5590,3020,2840,3050,3600,5230,5630,4120,2820,1610,920,600,350,180,15720,33080,6480,55280
PASIR RIS PARK,500,560,500,500,430,360,550,780,890,760,610,450,230,180,100,60,20,10,20,2490,4630,390,7510
PASIR RIS WAFER FAB PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASIR RIS WEST,1280,1610,2060,2740,3540,3050,1860,2110,2460,2910,3830,3230,2150,1350,790,510,340,190,100,11230,21600,3280,36110
AIRPORT ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENOI SECTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUL BASIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUL CIRCLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOO KOON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER SECTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONEY ISLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATILDA,5690,4710,2830,2140,1700,2810,6040,7320,4770,3500,2430,2050,1680,1450,950,530,290,130,70,17070,30600,3420,51090
NORTHSHORE,0,10,20,20,30,30,20,10,20,20,30,30,30,20,10,0,0,10,0,80,190,40,310
PUNGGOL CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNGGOL FIELD,2670,3510,3930,3250,2580,2490,2940,4310,5240,4850,3270,2910,2390,1810,1220,690,440,200,120,15940,28400,4480,48820
PUNGGOL TOWN CENTRE,2770,1920,1060,720,570,1110,3190,3130,1860,1260,880,710,560,470,340,170,100,60,20,7040,12700,1160,20900
WATERWAY EAST,5750,4580,3010,2080,1530,2440,6450,7000,4790,3320,2260,1860,1500,1360,890,490,280,140,70,16950,29620,3230,49800
COMMONWEALTH,190,210,280,270,320,410,430,460,470,620,570,620,550,460,410,370,300,180,100,1270,4130,1820,7220
DOVER,370,560,660,610,650,660,540,710,920,950,890,810,720,620,590,370,310,130,70,2850,6200,2090,11140
GHIM MOH,850,590,540,520,620,830,1370,1070,890,920,810,820,830,820,850,630,450,250,130,3120,7540,3130,13790
HOLLAND DRIVE,400,350,400,490,550,810,800,790,930,1090,990,930,900,880,870,750,560,250,160,2190,7240,3470,12900
KENT RIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARGARET DRIVE,1190,1140,740,580,550,780,1440,1900,1470,1060,840,790,710,740,540,400,330,180,110,4200,8990,2300,15490
MEI CHIN,450,560,740,810,970,1080,930,900,1030,1190,1300,1340,1200,950,700,560,480,290,140,3530,8970,3120,15620
NATIONAL UNIVERSITY OF S'PORE,10,20,10,0,150,30,20,20,20,20,20,20,0,0,0,0,0,0,0,190,150,0,340
ONE NORTH,40,70,50,30,20,30,50,90,80,100,80,40,10,20,10,0,0,0,0,210,480,30,720
PASIR PANJANG 1,170,190,240,250,270,340,300,370,400,410,340,300,290,220,160,90,50,40,0,1120,2750,560,4430
PASIR PANJANG 2,100,120,140,160,210,230,180,180,230,200,230,230,260,270,140,70,40,0,10,730,1740,530,3000
PORT,0,0,0,0,0,10,10,0,0,0,0,10,10,0,10,0,0,0,0,0,40,10,50
QUEENSWAY,0,0,10,0,20,20,20,30,20,40,30,30,20,20,20,10,0,0,0,30,210,50,290
SINGAPORE POLYTECHNIC,0,0,10,0,10,0,10,10,20,20,10,10,0,0,0,0,0,0,0,20,80,0,100
TANGLIN HALT,430,430,420,420,450,670,760,810,890,920,820,860,770,720,680,500,430,270,130,2150,6500,2730,11380
INSTITUTION HILL,220,250,200,140,130,170,230,380,420,350,240,170,140,160,110,50,30,20,10,940,2100,380,3420
LEONIE HILL,110,160,160,180,140,180,180,260,300,390,270,200,170,120,100,40,20,20,10,750,1950,310,3010
ONE TREE HILL,90,110,100,110,110,110,100,140,160,190,200,170,150,110,90,50,50,20,20,520,1220,340,2080
OXLEY,60,60,70,70,50,90,100,100,140,140,110,100,80,90,80,50,30,10,20,310,860,280,1450
PATERSON,10,20,20,10,10,0,20,20,20,30,20,20,20,0,0,0,0,0,0,70,150,0,220
BENCOOLEN,30,50,30,40,50,50,90,70,90,90,110,120,110,100,70,30,40,20,10,200,730,270,1200
FARRER PARK,70,90,140,120,110,140,170,210,250,240,210,180,220,190,140,70,50,30,30,530,1620,510,2660
KAMPONG GLAM,0,0,0,0,0,0,20,10,10,10,0,0,0,10,0,0,0,10,20,0,50,40,90
LITTLE INDIA,70,90,120,160,160,220,200,200,250,250,250,260,280,270,200,150,90,50,50,600,1910,810,3320
MACKENZIE,0,10,0,10,0,10,0,20,20,20,0,0,0,0,0,0,0,0,0,20,70,0,90
MOUNT EMILY,70,80,80,50,40,90,160,220,210,160,90,60,70,40,20,10,10,0,10,320,1060,90,1470
ROCHOR CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SELEGIE,0,0,10,10,20,20,10,20,30,0,20,20,10,20,10,0,0,0,0,40,130,30,200
SUNGEI ROAD,70,90,80,100,120,120,110,100,120,150,130,150,150,170,130,120,70,30,0,460,1030,520,2010
VICTORIA,40,40,40,40,90,100,130,120,140,130,130,170,170,150,130,90,60,20,30,250,1090,480,1820
PULAU PUNGGOL BARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PULAU PUNGGOL TIMOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SELETAR,10,20,20,20,20,0,0,10,20,50,30,20,20,20,0,0,0,0,0,90,150,20,260
SELETAR AEROSPACE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADMIRALTY,800,920,980,910,760,840,1090,1230,1300,1230,1000,940,750,520,340,250,140,80,30,4370,8380,1360,14110
SEMBAWANG CENTRAL,1750,1940,2140,2260,2120,2600,2620,2790,2970,3060,2570,2430,1990,1250,670,440,310,170,90,10210,21030,2930,34170
SEMBAWANG EAST,1300,570,580,550,600,1550,1740,980,840,770,710,540,350,270,150,110,50,40,0,3600,7480,620,11700
SEMBAWANG NORTH,1210,1620,1820,1830,1520,1530,1690,2280,2350,2360,1930,1810,1520,1050,590,370,200,110,40,8000,15470,2360,25830
SEMBAWANG SPRINGS,470,530,630,560,430,540,800,780,830,760,600,440,290,270,180,150,110,80,70,2620,5040,860,8520
SEMBAWANG STRAITS,70,110,100,130,140,140,70,80,130,160,150,150,110,60,60,40,30,10,0,550,990,200,1740
SENOKO NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENOKO SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE WHARVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANCHORVALE,3980,3670,3200,2510,1890,2540,4940,5050,4410,3880,2490,2330,2100,1550,1010,570,270,130,90,15250,27740,3620,46610
COMPASSVALE,1920,1850,1400,840,650,1020,2240,2860,2530,1470,970,880,860,700,500,290,160,70,30,6660,12830,1750,21240
FERNVALE,5160,4950,3480,2570,2100,2590,5730,6980,5360,3970,3000,2590,2150,1740,1210,750,430,280,160,18260,32370,4570,55200
LORONG HALUS NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIVERVALE,2680,3210,3710,4020,4180,4040,4110,4410,4760,5200,4610,4700,4140,2810,1720,920,530,280,170,17800,35970,6430,60200
SENGKANG TOWN CENTRE,3630,3580,3570,3680,3900,4250,5440,5520,4880,4890,4470,4230,3740,2490,1470,880,560,290,190,18360,37420,5880,61660
SENGKANG WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LORONG CHUAN,290,370,480,580,640,650,460,450,550,680,700,720,630,430,290,190,180,80,70,2360,4840,1240,8440
SELETAR HILLS,460,600,740,880,1090,1130,790,700,880,1050,1060,1180,1120,950,650,440,280,150,90,3770,7910,2560,14240
SERANGOON CENTRAL,700,790,950,1230,1370,2080,1920,1560,1460,1840,1700,2120,2390,1870,1310,730,510,270,140,5040,15070,4830,24940
SERANGOON GARDEN,1010,1240,1590,1910,2350,2670,2260,2000,2270,2580,2620,2940,3260,2860,1950,1230,890,530,320,8100,20600,7780,36480
SERANGOON NORTH,520,630,850,1010,1350,1410,960,1000,970,1160,1420,1450,1320,950,520,290,190,120,30,4360,9690,2100,16150
SERANGOON NORTH IND ESTATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER PAYA LEBAR,540,720,710,780,970,1460,1240,1030,1090,1080,1140,1280,1360,1070,760,460,300,170,80,3720,9680,2840,16240
PULAU SELETAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPANG NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPANG SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANJONG IRAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAT QUAY,0,0,0,0,0,0,0,10,0,10,10,10,10,0,10,10,0,0,0,0,50,20,70
CLARKE QUAY,0,0,0,0,0,0,10,10,10,10,0,10,0,0,0,0,0,0,10,0,50,10,60
ROBERTSON QUAY,220,200,160,110,80,110,170,320,400,340,200,160,120,80,70,30,20,10,10,770,1820,220,2810
SENTOSA,120,110,110,90,90,70,80,160,190,250,190,180,110,70,40,20,0,0,0,520,1230,130,1880
SOUTHERN GROUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRAITS VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALI BATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRANJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANG SUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESERVOIR VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURF CLUB,20,40,20,40,50,60,40,40,40,50,50,50,50,40,40,30,30,10,0,170,380,150,700
SIMEI,1490,1740,2000,2240,2800,3350,2480,2780,2950,3080,3010,3520,3130,2350,1420,780,530,310,200,10270,24300,5590,40160
TAMPINES EAST,5700,5480,6060,7170,9850,11210,9570,9080,8150,8670,10350,11590,11160,8120,4800,2680,1760,970,530,34260,79780,18860,132900
TAMPINES NORTH,300,150,90,70,90,330,420,220,130,100,140,70,90,80,50,30,40,40,10,700,1500,250,2450
TAMPINES WEST,3800,3740,3840,4400,5660,6410,6150,5780,5340,5450,5780,6580,6380,4600,2680,1450,940,520,280,21440,47870,10470,79780
XILIN,30,70,70,120,170,160,100,70,80,120,160,220,170,80,60,20,20,10,0,460,1080,190,1730
CHATSWORTH,360,430,410,290,250,300,430,610,770,720,550,410,330,310,240,160,90,60,30,1740,4120,890,6750
NASSIM,520,830,620,540,460,440,480,720,920,910,740,630,550,490,350,200,120,80,70,2970,5390,1310,9670
RIDOUT,70,90,70,70,70,80,100,90,120,110,120,110,100,90,80,40,40,20,20,370,830,290,1490
TYERSALL,160,230,230,200,210,230,210,230,290,350,330,310,230,210,160,100,70,30,20,1030,2180,590,3800
TENGAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIDADARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOON TECK,510,500,570,720,760,1000,890,780,790,1000,1040,1220,1170,920,810,640,480,290,170,3060,7890,3310,14260
BRADDELL,360,420,470,460,580,690,590,630,670,760,760,760,730,660,490,380,280,150,110,2290,5590,2070,9950
JOO SENG,370,400,440,340,410,560,690,610,650,660,560,570,580,480,350,250,190,110,50,1960,4880,1430,8270
KIM KEAT,210,290,300,340,470,660,470,460,510,620,580,690,740,570,450,320,220,100,60,1610,4730,1720,8060
LORONG 8 TOA PAYOH,170,200,260,330,440,490,380,410,490,560,550,650,600,580,420,400,270,150,80,1400,4130,1900,7430
PEI CHUN,290,370,480,550,570,600,520,600,760,910,920,860,830,670,570,490,340,150,90,2260,6000,2310,10570
POTONG PASIR,370,470,450,550,510,740,800,830,880,900,860,870,1000,970,660,420,220,130,50,2350,6880,2450,11680
SENNETT,210,240,280,290,310,390,400,390,400,400,330,370,390,340,260,180,120,100,80,1330,3070,1080,5480
TOA PAYOH CENTRAL,1120,1520,1340,1350,1540,1810,1670,2200,2410,2370,2130,2070,1880,1500,1200,980,710,370,200,6870,16540,4960,28370
TOA PAYOH WEST,560,480,510,570,650,940,1130,960,1050,1100,1030,1110,1080,970,840,660,520,270,140,2770,8400,3400,14570
WOODLEIGH,100,140,170,150,150,190,130,200,200,220,180,170,160,130,80,30,10,10,0,710,1450,260,2420
TENGEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS PROMENADE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS VIEW EXTENSION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG ISLAND AND BUKOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMAKAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN WATER CATCHMENT,40,40,30,30,140,40,40,70,70,40,40,60,30,10,0,0,0,0,0,280,390,10,680
GREENWOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIDVIEW,1650,1650,1940,2770,3530,3070,2530,2290,2100,2740,3410,2840,1990,1280,710,480,290,150,100,11540,20970,3010,35520
NORTH COAST,310,360,500,730,1000,1040,690,680,720,870,1140,1190,1010,820,610,370,230,110,40,2900,7340,2180,12420
SENOKO WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODGROVE,1040,1370,1810,2510,3460,3050,2030,2010,2270,2750,3450,2860,2310,1430,820,460,330,170,110,10190,20730,3320,34240
WOODLANDS EAST,5010,5400,6160,7260,7860,7540,7330,7330,7680,8630,8140,7310,5380,3400,1930,1090,650,350,170,31690,59340,7590,98620
WOODLANDS REGIONAL CENTRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODLANDS SOUTH,2190,2730,2950,3100,2910,2600,2950,3610,3560,3620,3100,2510,1940,1460,870,470,280,140,40,13880,23890,3260,41030
WOODLANDS WEST,1410,1320,1520,1910,2640,2920,2350,2010,1950,2280,2800,2960,2600,1790,1180,740,470,230,90,8800,19870,4500,33170
KHATIB,340,310,420,500,670,970,770,620,590,700,790,1100,970,770,430,250,140,80,30,2240,6510,1700,10450
LOWER SELETAR,2180,1540,1080,920,720,1400,2600,2100,1350,1210,820,680,470,340,230,100,110,20,20,6440,10630,820,17890
NEE SOON,30,50,60,50,50,60,60,50,60,100,70,100,60,50,40,40,10,0,0,240,560,140,940
NORTHLAND,990,1090,1410,1640,1960,2410,1940,1900,1950,2070,2260,2690,2390,1710,1000,570,350,160,90,7090,17610,3880,28580
SPRINGLEAF,130,180,230,290,340,390,250,190,260,330,300,370,330,280,230,100,70,30,20,1170,2420,730,4320
YISHUN CENTRAL,60,90,100,90,130,180,150,150,160,140,150,200,150,130,60,50,20,0,10,470,1280,270,2020
YISHUN EAST,4620,4300,3120,3020,3270,4120,5820,6290,4650,3950,3870,4050,3270,2410,1400,740,450,230,110,18330,36020,5340,59690
YISHUN SOUTH,1870,1640,1970,2140,2580,3920,3450,2890,2800,3000,3090,3730,3180,2400,1520,910,530,280,160,10200,26060,5800,42060
YISHUN WEST,1890,2070,2620,3000,3440,3970,3610,3750,3960,4280,4530,4870,4490,3420,2080,1360,840,430,250,13020,33460,8380,54860
